address,lat,lng,location_type
8 Sunfish Ct,43.0277711,-89.4172021,RANGE_INTERPOLATED
9 Sunfish Ct,43.0277443,-89.417285,RANGE_INTERPOLATED
13 Sunfish Ct,43.0276956,-89.4171653,ROOFTOP
17 Sunfish Ct,43.0277141,-89.4168826,ROOFTOP
21 Sunfish Ct,43.0277085,-89.4168735,ROOFTOP
25 Sunfish Ct,43.0275645,-89.416675,ROOFTOP
27 Sunfish Ct,43.0275495,-89.4166545,ROOFTOP
29 Sunfish Ct,43.0276151,-89.4165659,ROOFTOP
31 Sunfish Ct,43.0276304,-89.4165426,ROOFTOP
33 Sunfish Ct,43.0276505,-89.4163092,ROOFTOP
39 Sunfish Ct,43.0277471,-89.4162304,ROOFTOP
2901 Turbot Dr,43.0293385,-89.417715,ROOFTOP
2911 Turbot Dr,43.0271472,-89.4180577,RANGE_INTERPOLATED
2913 Turbot Dr,43.0272268,-89.4180427,RANGE_INTERPOLATED
2915 Turbot Dr,43.0273025,-89.4180197,RANGE_INTERPOLATED
2919 Turbot Dr,43.0274537,-89.4179495,RANGE_INTERPOLATED
2921 Turbot Dr,43.0275281,-89.4179081,RANGE_INTERPOLATED
2977 Turbot Dr,43.0289785,-89.4179211,RANGE_INTERPOLATED
2981 Turbot Dr,43.0291068,-89.4179311,RANGE_INTERPOLATED
206 Glen Hollow Rd,43.0743954,-89.4760659,RANGE_INTERPOLATED
208 Glen Hollow Rd,43.0744289,-89.4760676,RANGE_INTERPOLATED
210 Glen Hollow Rd,43.0744607,-89.4760645,RANGE_INTERPOLATED
214 Glen Hollow Rd,43.0745277,-89.4760446,RANGE_INTERPOLATED
215 Glen Hollow Rd,43.0745158,-89.4760115,RANGE_INTERPOLATED
217 Glen Hollow Rd,43.0745403,-89.4759921,RANGE_INTERPOLATED
221 Glen Hollow Rd,43.0745738,-89.4759311,RANGE_INTERPOLATED
225 Glen Hollow Rd,43.0749278,-89.4748314,ROOFTOP
226 Glen Hollow Rd,43.0746423,-89.4758264,RANGE_INTERPOLATED
227 Glen Hollow Rd,43.0749332,-89.4750256,RANGE_INTERPOLATED
229 Glen Hollow Rd,43.0749468,-89.475027,RANGE_INTERPOLATED
230 Glen Hollow Rd,43.0746697,-89.4757418,RANGE_INTERPOLATED
101 Glenthistle Rd,43.0749714,-89.477778,RANGE_INTERPOLATED
102 Glenthistle Rd,43.075024,-89.4777542,RANGE_INTERPOLATED
103 Glenthistle Rd,43.0750041,-89.4777292,RANGE_INTERPOLATED
104 Glenthistle Rd,43.0750568,-89.4777054,RANGE_INTERPOLATED
109 Glenthistle Rd,43.0751129,-89.4775921,RANGE_INTERPOLATED
113 Glenthistle Rd,43.075196,-89.4775196,RANGE_INTERPOLATED
117 Glenthistle Rd,43.0752845,-89.4774632,RANGE_INTERPOLATED
118 Glenthistle Rd,43.0753396,-89.4774712,RANGE_INTERPOLATED
119 Glenthistle Rd,43.075329,-89.4774373,RANGE_INTERPOLATED
120 Glenthistle Rd,43.0753844,-89.4774437,RANGE_INTERPOLATED
124 Glenthistle Rd,43.0754714,-89.4773855,RANGE_INTERPOLATED
301 Glenthistle Ct,43.0751596,-89.4767888,RANGE_INTERPOLATED
302 Glenthistle Ct,43.0752348,-89.4757262,RANGE_INTERPOLATED
303 Glenthistle Ct,43.0751646,-89.4767872,RANGE_INTERPOLATED
304 Glenthistle Ct,43.0752233,-89.4758876,RANGE_INTERPOLATED
305 Glenthistle Ct,43.0751696,-89.4767855,RANGE_INTERPOLATED
308 Glenthistle Ct,43.0752231,-89.4762169,RANGE_INTERPOLATED
309 Glenthistle Ct,43.0751795,-89.4767822,RANGE_INTERPOLATED
310 Glenthistle Ct,43.0751851,-89.4763792,ROOFTOP
312 Glenthistle Ct,43.0751928,-89.4763919,RANGE_INTERPOLATED
313 Glenthistle Ct,43.0751887,-89.4767799,RANGE_INTERPOLATED
314 Glenthistle Ct,43.0751909,-89.4764006,RANGE_INTERPOLATED
10 Mesa Verde Ct,43.061376,-89.49463,ROOFTOP
12 Mesa Verde Ct,43.0611423,-89.4944916,RANGE_INTERPOLATED
14 Mesa Verde Ct,43.0611536,-89.4943584,RANGE_INTERPOLATED
16 Mesa Verde Ct,43.0611829,-89.4942316,RANGE_INTERPOLATED
208 S High Point Rd,43.0637673,-89.5177552,ROOFTOP
218 S High Point Rd,43.063456,-89.5177603,ROOFTOP
220 S High Point Rd,43.0629559,-89.5174543,RANGE_INTERPOLATED
224 S High Point Rd,43.0627485,-89.5177063,ROOFTOP
226 S High Point Rd,43.0625686,-89.5177442,ROOFTOP
228 S High Point Rd,43.0624949,-89.5177556,ROOFTOP
230 S High Point Rd,43.0624651,-89.517465,RANGE_INTERPOLATED
232 S High Point Rd,43.0624386,-89.5174656,RANGE_INTERPOLATED
7806 E Oakbridge Way,43.0631199,-89.5180809,RANGE_INTERPOLATED
7817 E Oakbridge Way,43.0632139,-89.518375,RANGE_INTERPOLATED
7821 E Oakbridge Way,43.0632113,-89.518581,RANGE_INTERPOLATED
7826 E Oakbridge Way,43.0632354,-89.5187524,RANGE_INTERPOLATED
7828 E Oakbridge Way,43.0632411,-89.5188275,RANGE_INTERPOLATED
7832 E Oakbridge Way,43.0632706,-89.5189321,RANGE_INTERPOLATED
7834 E Oakbridge Way,43.0632813,-89.5189529,RANGE_INTERPOLATED
7836 E Oakbridge Way,43.0632954,-89.5189774,RANGE_INTERPOLATED
7838 E Oakbridge Way,43.0633095,-89.5190017,RANGE_INTERPOLATED
7840 E Oakbridge Way,43.0633237,-89.519026,RANGE_INTERPOLATED
7842 E Oakbridge Way,43.0633372,-89.5190438,RANGE_INTERPOLATED
7849 E Oakbridge Way,43.0634253,-89.5191735,RANGE_INTERPOLATED
7851 E Oakbridge Way,43.063442,-89.5191895,RANGE_INTERPOLATED
7853 E Oakbridge Way,43.0634587,-89.5192056,RANGE_INTERPOLATED
7855 E Oakbridge Way,43.0634755,-89.5192217,RANGE_INTERPOLATED
7857 E Oakbridge Way,43.0634922,-89.5192378,RANGE_INTERPOLATED
7859 E Oakbridge Way,43.0635089,-89.5192539,RANGE_INTERPOLATED
7865 E Oakbridge Way,43.0635591,-89.5193022,RANGE_INTERPOLATED
7869 E Oakbridge Way,43.0635926,-89.5193343,RANGE_INTERPOLATED
7872 E Oakbridge Way,43.0636168,-89.5193125,RANGE_INTERPOLATED
7878 E Oakbridge Way,43.0636727,-89.5193663,RANGE_INTERPOLATED
